GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
51107	4.03e-18	2.73e-22	0.1548	9.7102244	1.50324236	800.43	APH1A	aph-1 homolog A, gamma-secretase subunit
23136	3.46e-16	4.68e-20	0.1506	9.1712518	1.3807714	4360.76	EPB41L3	erythrocyte membrane protein band 4.1 like 3
8904	3.96e-15	8.04e-19	0.1018	8.8594649	0.90182202	2177.79	CPNE1	copine 1
3008	1.79e-14	4.83e-18	0.4406	-8.6572383	-3.81459498	85.46	H1-4	H1.4 linker histone, cluster member
2208	1.06e-12	3.58e-16	0.3398	-8.1519419	-2.77015938	184.59	FCER2	Fc epsilon receptor II
85495	4.14e-11	1.68e-14	0.5678	-7.6729028	-4.35686834	60.56	RPPH1	ribonuclease P RNA component H1
80351	7.96e-10	3.77e-13	0.1119	7.2636424	0.81251097	1705.93	TNKS2	tankyrase 2
23409	7.00e-09	3.79e-12	0.432	-6.9447712	-3.00038956	89.59	SIRT4	sirtuin 4
10438	1.12e-07	6.82e-11	0.2377	-6.5245926	-1.55057568	299.14	C1D	C1D nuclear receptor corepressor
29125	3.72e-07	2.51e-10	0.1509	-6.3260717	-0.95449134	1096.65	C11orf21	chromosome 11 open reading frame 21
6714	5.89e-07	4.38e-10	0.2924	6.2397063	1.82419634	771.64	SRC	SRC proto-oncogene, non-receptor tyrosine kinase
26831	6.08e-07	4.94e-10	0.7246	-6.2210762	-4.50764458	15.48	RNU5A-1	RNA, U5A small nuclear 1
57050	6.72e-07	5.91e-10	0.1842	6.1929087	1.14056259	297.8	UTP3	UTP3 small subunit processome component
9732	9.42e-07	8.93e-10	0.2099	6.1275271	1.28616127	217.15	DOCK4	dedicator of cytokinesis 4
26830	9.71e-07	1.05e-09	0.7132	-6.1014779	-4.35156792	13.73	RNU5D-1	RNA, U5D small nuclear 1
9509	9.71e-07	1.03e-09	1.3758	6.1043517	8.398452	55.68	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2
9332	1.05e-06	1.20e-09	0.1823	6.0796395	1.10843578	8242.47	CD163	CD163 molecule
26834	1.37e-06	1.66e-09	0.7577	-6.0276768	-4.56731441	22.6	RNU4-2	RNA, U4 small nuclear 2
6651	1.76e-06	2.26e-09	0.1112	-5.9781286	-0.66495643	4391.87	SON	SON DNA and RNA binding protein
4508	2.77e-06	3.74e-09	0.1843	-5.8951884	-1.08628534	8043.41	ATP6	ATP synthase F0 subunit 6
6916	3.14e-06	4.46e-09	0.1358	5.8662408	0.79661221	6805.74	TBXAS1	thromboxane A synthase 1
139818	3.42e-06	5.09e-09	0.1041	5.8442169	0.60830431	1991.69	DOCK11	dedicator of cytokinesis 11
56907	3.53e-06	5.50e-09	0.3197	5.8314207	1.8642778	122.43	SPIRE1	spire type actin nucleation factor 1
100463486	4.01e-06	6.51e-09	1.1309	-5.8030652	-6.56290616	219.02	MTRNR2L8	MT-RNR2 like 8 (pseudogene)
1656	5.65e-06	9.94e-09	0.1312	-5.7316891	-0.75192962	633.06	DDX6	DEAD-box helicase 6
107987303	5.65e-06	9.87e-09	0.9096	-5.7330043	-5.21461799	167.37	LOC107987303	uncharacterized LOC107987303
23632	5.80e-06	1.06e-08	0.2316	5.7209329	1.32498982	101.22	CA14	carbonic anhydrase 14
267010	7.94e-06	1.50e-08	0.5711	-5.6610848	-3.23310343	16.05	RNU12	RNA, U12 small nuclear
9414	1.07e-05	2.11e-08	0.1919	5.6030312	1.07513808	1275.94	TJP2	tight junction protein 2
54832	1.07e-05	2.18e-08	0.1525	-5.5971807	-0.85374436	1430.82	VPS13C	vacuolar protein sorting 13 homolog C
712	1.11e-05	2.34e-08	0.5047	5.5850015	2.81901666	815.46	C1QA	complement C1q A chain
51752	1.49e-05	3.22e-08	0.1589	5.5287988	0.87828156	1711.96	ERAP1	endoplasmic reticulum aminopeptidase 1
3007	1.67e-05	3.73e-08	0.6327	-5.5029535	-3.48150463	30.82	H1-3	H1.3 linker histone, cluster member
1848	1.85e-05	4.27e-08	0.2445	5.4795033	1.33980292	17367.92	DUSP6	dual specificity phosphatase 6
